id,title,author,year,year_original,resource_type,description,url,topics,language,journal,publisher,doi,pages,volume,issue,edition,editors,source_urls,record_status,extra_fields
reference-868,30 Seconds That CanChange Your Life: A Decision-Making Guide for Those Who Refuse to be Mediocre,R. Kaufman,2006,2006,Book,,https://www.scribd.com/doc/59828150/Roger-Kaufman-30-Seconds-That-Can-Change-Your-Life,Books,en,,Amherst,,,,,,,http://web.archive.org/web/20240526080049/https://na.weshareresearch.com/resources/single-record/?pdb=868; https://web.archive.org/web/20230204223723/https://na.weshareresearch.com/resources/books/?listpage=1&instance=1; https://web.archive.org/web/20240714205040/https://na.weshareresearch.com/resources/books/,Reference details recovered,"{""author_0_family"": ""Kaufman"", ""author_0_given"": ""R."", ""issued_date_parts_0_0"": ""2006"", ""title"": ""30 Seconds That CanChange Your Life: A Decision-Making Guide for Those Who Refuse to be Mediocre"", ""type"": ""book"", ""journal"": """", ""volume"": """", ""issue"": """", ""page"": """", ""edition"": """", ""in_book"": """", ""publisher"": ""Amherst"", ""publisher_place"": ""MA"", ""doi"": """", ""url"": ""https://www.scribd.com/doc/59828150/Roger-Kaufman-30-Seconds-That-Can-Change-Your-Life"", ""language"": ""en"", ""author_1_family"": """", ""author_1_given"": """", ""author_2_family"": """", ""author_2_given"": """", ""author_3_family"": """", ""author_3_given"": """", ""author_4_family"": """", ""author_4_given"": """", ""editor_0_given"": """", ""editor_0_family"": """", ""issued_date_parts_0_1"": """", ""editor_1_family"": """", ""editor_1_given"": """", ""photo"": """"}"
reference-776,A case example of assessment and evaluation: Building capability in a corporate university,S. Overcast; T. Schmidt; K. Lei; C. Rodgers; N.A. Chung,2009,2009,Journal article,,https://web.archive.org/web/20220528155622/https://na.weshareresearch.com/resources/single-record/?pdb=776,Articles and Chapters,en,Performance Improvement,,https://doi.org/10.1002/pfi.20082,5–15,48,6,,,https://web.archive.org/web/20220528155622/https://na.weshareresearch.com/resources/single-record/?pdb=776; https://web.archive.org/web/20250426230749/https://na.weshareresearch.com/resources/articles/?listpage=3&instance=1,Reference details recovered,"{""author_0_family"": ""Overcast"", ""author_0_given"": ""S."", ""issued_date_parts_0_0"": ""2009"", ""title"": ""A case example of assessment and evaluation: Building capability in a corporate university"", ""type"": ""article-journal"", ""journal"": ""Performance Improvement"", ""volume"": ""48"", ""issue"": ""6"", ""page"": ""5–15"", ""edition"": """", ""in_book"": """", ""publisher"": """", ""publisher_place"": """", ""doi"": ""https://doi.org/10.1002/pfi.20082"", ""url"": """", ""language"": ""en"", ""author_1_family"": ""Schmidt"", ""author_1_given"": ""T."", ""author_2_family"": ""Lei"", ""author_2_given"": ""K."", ""author_3_family"": ""Rodgers"", ""author_3_given"": ""C."", ""author_4_family"": ""Chung"", ""author_4_given"": ""N.A."", ""editor_0_given"": """", ""editor_0_family"": """", ""issued_date_parts_0_1"": """", ""editor_1_family"": """", ""editor_1_given"": """", ""photo"": """"}"
reference-616,A closer look at needs analysis and needs assessment: Whatever happened to the systems approach?,Benjamin,1989,1989,Article/Chapter,,https://web.archive.org/web/20260101050202/https://na.weshareresearch.com/resources/single-record/?pdb=616,Articles and Chapters,,,,,,,,,,https://web.archive.org/web/20250112204813/https://na.weshareresearch.com/resources/articles/?listpage=9&instance=1,Listing only,
reference-781,A comparison of data collection methods for assessing training needs. Human Resource,Preskill,1991,1991,Article/Chapter,,https://web.archive.org/web/20260101050202/https://na.weshareresearch.com/resources/single-record/?pdb=781,Articles and Chapters,,,,,,,,,,https://web.archive.org/web/20250112212831/https://na.weshareresearch.com/resources/articles/?listpage=8&instance=1,Listing only,
reference-615,A consortium approach to community needs assessment: A case study and principles for practice and education,Bender,1993,1993,Article/Chapter,,https://web.archive.org/web/20260101050202/https://na.weshareresearch.com/resources/single-record/?pdb=615,Articles and Chapters,,,,,,,,,,https://web.archive.org/web/20250112220506/https://na.weshareresearch.com/resources/articles/?listpage=7&instance=1,Listing only,
reference-735,A consultative training program: Collateral effect of a needs assessment,K.H. Lucier,2008,2008,Journal article,,http://web.archive.org/web/20220813065835/https://na.weshareresearch.com/resources/single-record/?pdb=735,Articles and Chapters,en,Communication Education,,https://doi.org/10.1080/03634520802094305,482–489,57,4,,,http://web.archive.org/web/20220813065835/https://na.weshareresearch.com/resources/single-record/?pdb=735; https://web.archive.org/web/20250218200328/https://na.weshareresearch.com/resources/articles/?listpage=4&instance=1,Reference details recovered,"{""author_0_family"": ""Lucier"", ""author_0_given"": ""K.H."", ""issued_date_parts_0_0"": ""2008"", ""title"": ""A consultative training program: Collateral effect of a needs assessment"", ""type"": ""article-journal"", ""journal"": ""Communication Education"", ""volume"": ""57"", ""issue"": ""4"", ""page"": ""482–489"", ""edition"": """", ""in_book"": """", ""publisher"": """", ""publisher_place"": """", ""doi"": ""https://doi.org/10.1080/03634520802094305"", ""url"": """", ""language"": ""en"", ""author_1_family"": """", ""author_1_given"": """", ""author_2_family"": """", ""author_2_given"": """", ""author_3_family"": """", ""author_3_given"": """", ""author_4_family"": """", ""author_4_given"": """", ""editor_0_given"": """", ""editor_0_family"": """", ""issued_date_parts_0_1"": """", ""editor_1_family"": """", ""editor_1_given"": """", ""photo"": """"}"
reference-925,A Mixed-Methods. Multiprofessional Approach to Needs Assessment for Designing Education,Moore,2011,2011,Article/Chapter,,https://web.archive.org/web/20260101050202/https://na.weshareresearch.com/resources/single-record/?pdb=925,Articles and Chapters,,,,,,,,,,https://web.archive.org/web/20250515121932/https://na.weshareresearch.com/resources/articles/?listpage=2&instance=1,Listing only,
reference-646,A Model for the Identification of Training Needs,Kathleen Cooke,1979,1979,Journal article,,http://web.archive.org/web/20250112212504/https://na.weshareresearch.com/resources/single-record/?pdb=646,Articles and Chapters,en,Public Personnel Management,,https://doi.org/10.1787/888934092360,257,8,4,,,http://web.archive.org/web/20250112212504/https://na.weshareresearch.com/resources/single-record/?pdb=646; https://web.archive.org/web/20241214005301/https://na.weshareresearch.com/resources/articles/?listpage=10&instance=1,Reference details recovered,"{""author_0_family"": ""Cooke"", ""author_0_given"": ""Kathleen"", ""issued_date_parts_0_0"": ""1979"", ""title"": ""A Model for the Identification of Training Needs"", ""type"": ""article-journal"", ""journal"": ""Public Personnel Management"", ""volume"": ""8"", ""issue"": ""4"", ""page"": ""257"", ""edition"": """", ""in_book"": """", ""publisher"": """", ""publisher_place"": """", ""doi"": ""https://doi.org/10.1787/888934092360"", ""url"": """", ""language"": ""en"", ""author_1_family"": """", ""author_1_given"": """", ""author_2_family"": """", ""author_2_given"": """", ""author_3_family"": """", ""author_3_given"": """", ""author_4_family"": """", ""author_4_given"": """", ""editor_0_given"": """", ""editor_0_family"": """", ""issued_date_parts_0_1"": """", ""editor_1_family"": """", ""editor_1_given"": """", ""photo"": """"}"
reference-738,A modified cluster-sampling method for post- disaster rapid assessment of needs,Malilay,1996,1996,Article/Chapter,,https://web.archive.org/web/20260101050202/https://na.weshareresearch.com/resources/single-record/?pdb=738,Articles and Chapters,,,,,,,,,,https://web.archive.org/web/20250112220506/https://na.weshareresearch.com/resources/articles/?listpage=7&instance=1,Listing only,
reference-702,A needs assessment primer,Kaufman,1987,1987,Article/Chapter,,https://web.archive.org/web/20260101050202/https://na.weshareresearch.com/resources/single-record/?pdb=702,Articles and Chapters,,,,,,,,,,https://web.archive.org/web/20250112204813/https://na.weshareresearch.com/resources/articles/?listpage=9&instance=1,Listing only,
reference-930,A New Integrated Framework for Training Needs Analysis. Human,P.J. Taylor; M.P. O’Driscoll; J.F. Binning,1998,1998,Journal article,,https://web.archive.org/web/20230607092010/https://na.weshareresearch.com/resources/single-record/?pdb=930,Articles and Chapters,en,Resource Management Journal,,https://doi.org/10.1111/j.1748-8583.1998.tb00165.x,29–51,8,,,,https://web.archive.org/web/20230607092010/https://na.weshareresearch.com/resources/single-record/?pdb=930; https://web.archive.org/web/20241120084513/https://na.weshareresearch.com/resources/articles/?listpage=6&instance=1,Reference details recovered,"{""author_0_family"": ""Taylor"", ""author_0_given"": ""P.J."", ""issued_date_parts_0_0"": ""1998"", ""title"": ""A New Integrated Framework for Training Needs Analysis. Human"", ""type"": ""article-journal"", ""journal"": ""Resource Management Journal"", ""volume"": ""8"", ""issue"": """", ""page"": ""29–51"", ""edition"": """", ""in_book"": """", ""publisher"": """", ""publisher_place"": """", ""doi"": ""https://doi.org/10.1111/j.1748-8583.1998.tb00165.x"", ""url"": """", ""language"": ""en"", ""author_1_family"": ""O’Driscoll"", ""author_1_given"": ""M.P."", ""author_2_family"": ""Binning"", ""author_2_given"": ""J.F."", ""author_3_family"": """", ""author_3_given"": """", ""author_4_family"": """", ""author_4_given"": """", ""editor_0_given"": """", ""editor_0_family"": """", ""issued_date_parts_0_1"": """", ""editor_1_family"": """", ""editor_1_given"": """", ""photo"": """"}"
reference-698,A Possible taxonomy for needs assessment,Kaufman,1977,1977,Book,,https://web.archive.org/web/20260101050202/https://na.weshareresearch.com/resources/single-record/?pdb=698,Books,,,,,,,,,,https://web.archive.org/web/20240612225204/https://na.weshareresearch.com/resources/books/?listpage=3&instance=1,Listing only,
reference-793,A Practical Approach to Conducting and Using the Training Needs Assessment,Schneier,1988,1988,Article/Chapter,,https://web.archive.org/web/20260101050202/https://na.weshareresearch.com/resources/single-record/?pdb=793,Articles and Chapters,,,,,,,,,,https://web.archive.org/web/20250112204813/https://na.weshareresearch.com/resources/articles/?listpage=9&instance=1,Listing only,
reference-843,A Practical Approach to Defining Professional Practice Gaps for Continuing Medical Education,Wittich,2012,2012,Article/Chapter,,https://web.archive.org/web/20260101050202/https://na.weshareresearch.com/resources/single-record/?pdb=843,Articles and Chapters,,,,,,,,,,https://web.archive.org/web/20250515121932/https://na.weshareresearch.com/resources/articles/?listpage=2&instance=1,Listing only,
reference-608,A primer on needs assessment: More than 40 years of research and practice,Altschuld,2014,2014,Article/Chapter,,https://web.archive.org/web/20260101050202/https://na.weshareresearch.com/resources/single-record/?pdb=608,Articles and Chapters,,,,,,,,,,https://web.archive.org/web/20250515121932/https://na.weshareresearch.com/resources/articles/?listpage=2&instance=1,Listing only,
reference-820,A process for aligning performance improvement resources and strategies. Performance,Watkins,2003,2003,Article/Chapter,,https://web.archive.org/web/20260101050202/https://na.weshareresearch.com/resources/single-record/?pdb=820,Articles and Chapters,,,,,,,,,,https://web.archive.org/web/20240526084808/https://na.weshareresearch.com/resources/articles/?listpage=5&instance=1,Listing only,
reference-795,A quantitative needs assessment technique for cross-cultural work adjustment training,Selmer,2000,2000,Article/Chapter,,https://web.archive.org/web/20260101050202/https://na.weshareresearch.com/resources/single-record/?pdb=795,Articles and Chapters,,,,,,,,,,https://web.archive.org/web/20241120084513/https://na.weshareresearch.com/resources/articles/?listpage=6&instance=1,Listing only,
reference-926,A Simple Tool to Evoke Physicians' Real Training Needs,Perol,2002,2002,Article/Chapter,,https://web.archive.org/web/20260101050202/https://na.weshareresearch.com/resources/single-record/?pdb=926,Articles and Chapters,,,,,,,,,,https://web.archive.org/web/20240526084808/https://na.weshareresearch.com/resources/articles/?listpage=5&instance=1,Listing only,
reference-750,A systems approach to needs assessment. Training &,McClelland,1992,1992,Article/Chapter,,https://web.archive.org/web/20260101050202/https://na.weshareresearch.com/resources/single-record/?pdb=750,Articles and Chapters,,,,,,,,,,https://web.archive.org/web/20250112212831/https://na.weshareresearch.com/resources/articles/?listpage=8&instance=1,Listing only,
reference-623,A theoretical framework of training needs analysis for African para-medical personnel through distance education,Braimoh,1994,1994,Article/Chapter,,https://web.archive.org/web/20260101050202/https://na.weshareresearch.com/resources/single-record/?pdb=623,Articles and Chapters,,,,,,,,,,https://web.archive.org/web/20250112220506/https://na.weshareresearch.com/resources/articles/?listpage=7&instance=1,Listing only,
reference-772,A True Training Needs Analysis. Training &,Nowack,1991,1991,Article/Chapter,,https://web.archive.org/web/20260101050202/https://na.weshareresearch.com/resources/single-record/?pdb=772,Articles and Chapters,,,,,,,,,,https://web.archive.org/web/20250112212831/https://na.weshareresearch.com/resources/articles/?listpage=8&instance=1,Listing only,
reference-692,A witness for the defense of needs assessment,E. Kamis,1979,1979,Journal article,,https://web.archive.org/web/20250112213718/https://na.weshareresearch.com/resources/single-record/?pdb=692,Articles and Chapters,en,Evaluation and Program Planning,,https://doi.org/10.1037/e452002006-001,7–12,2,,,,https://web.archive.org/web/20241214005301/https://na.weshareresearch.com/resources/articles/?listpage=10&instance=1; https://web.archive.org/web/20250112213718/https://na.weshareresearch.com/resources/single-record/?pdb=692,Reference details recovered,"{""author_0_family"": ""Kamis"", ""author_0_given"": ""E."", ""issued_date_parts_0_0"": ""1979"", ""title"": ""A witness for the defense of needs assessment"", ""type"": ""article-journal"", ""journal"": ""Evaluation and Program Planning"", ""volume"": ""2"", ""issue"": """", ""page"": ""7–12"", ""edition"": """", ""in_book"": """", ""publisher"": """", ""publisher_place"": """", ""doi"": ""https://doi.org/10.1037/e452002006-001"", ""url"": """", ""language"": ""en"", ""author_1_family"": """", ""author_1_given"": """", ""author_2_family"": """", ""author_2_given"": """", ""author_3_family"": """", ""author_3_given"": """", ""author_4_family"": """", ""author_4_given"": """", ""editor_0_given"": """", ""editor_0_family"": """", ""issued_date_parts_0_1"": """", ""editor_1_family"": """", ""editor_1_given"": """", ""photo"": """"}"
reference-758,Achieving Desired Results and Improved Outcomes: Integrating Planning and Assessment Throughout Learning Activities,D.E. Moore; J.S. Green; H.A. Gallis,2009,2009,Journal article,,https://web.archive.org/web/20220528173727/https://na.weshareresearch.com/resources/single-record/?pdb=758,Articles and Chapters,en,The Journal of Continuing Education in the Health Professions,,https://doi.org/10.1002/chp.20001,1–15,29,,,,https://web.archive.org/web/20220528173727/https://na.weshareresearch.com/resources/single-record/?pdb=758; https://web.archive.org/web/20250426230749/https://na.weshareresearch.com/resources/articles/?listpage=3&instance=1,Reference details recovered,"{""author_0_family"": ""Moore"", ""author_0_given"": ""D.E."", ""issued_date_parts_0_0"": ""2009"", ""title"": ""Achieving Desired Results and Improved Outcomes: Integrating Planning and Assessment Throughout Learning Activities"", ""type"": ""article-journal"", ""journal"": ""The Journal of Continuing Education in the Health Professions"", ""volume"": ""29"", ""issue"": """", ""page"": ""1–15"", ""edition"": """", ""in_book"": """", ""publisher"": """", ""publisher_place"": """", ""doi"": ""https://doi.org/10.1002/chp.20001"", ""url"": """", ""language"": ""en"", ""author_1_family"": ""Green"", ""author_1_given"": ""J.S."", ""author_2_family"": ""Gallis"", ""author_2_given"": ""H.A."", ""author_3_family"": """", ""author_3_given"": """", ""author_4_family"": """", ""author_4_given"": """", ""editor_0_given"": """", ""editor_0_family"": """", ""issued_date_parts_0_1"": """", ""editor_1_family"": """", ""editor_1_given"": """", ""photo"": """"}"
reference-730,Alternate models of needs assessment: Selecting the right one for your organization. Human,D. Leigh; R. Watkins; W. Platt; R. Kaufman,2000,2000,Journal article,,http://web.archive.org/web/20221006223011/https://na.weshareresearch.com/resources/single-record/?pdb=730,Articles and Chapters,en,Resource Development Quarterly,,<a href='https://doi.org/10.1002/1532-1096(200021)11:13.0.co;2-a' target='_blank'>https://doi.org/10.1002/1532-1096(200021)11:13.0.co;2-a,87–93,11,1,,,http://web.archive.org/web/20221006223011/https://na.weshareresearch.com/resources/single-record/?pdb=730; https://web.archive.org/web/20241120084513/https://na.weshareresearch.com/resources/articles/?listpage=6&instance=1,Reference details recovered,"{""author_0_family"": ""Leigh"", ""author_0_given"": ""D."", ""issued_date_parts_0_0"": ""2000"", ""title"": ""Alternate models of needs assessment: Selecting the right one for your organization. Human"", ""type"": ""article-journal"", ""journal"": ""Resource Development Quarterly"", ""volume"": ""11"", ""issue"": ""1"", ""page"": ""87–93"", ""edition"": """", ""in_book"": """", ""publisher"": """", ""publisher_place"": """", ""doi"": ""<a href='https://doi.org/10.1002/1532-1096(200021)11:13.0.co;2-a' target='_blank'>https://doi.org/10.1002/1532-1096(200021)11:13.0.co;2-a"", ""url"": """", ""language"": ""en"", ""author_1_family"": ""Watkins"", ""author_1_given"": ""R."", ""author_2_family"": ""Platt"", ""author_2_given"": ""W."", ""author_3_family"": ""Kaufman"", ""author_3_given"": ""R."", ""author_4_family"": """", ""author_4_given"": """", ""editor_0_given"": """", ""editor_0_family"": """", ""issued_date_parts_0_1"": """", ""editor_1_family"": """", ""editor_1_given"": """", ""photo"": """"}"
reference-754,An assessment of the needs of mutual-help groups. American,Meissen,1991,1991,Article/Chapter,,https://web.archive.org/web/20260101050202/https://na.weshareresearch.com/resources/single-record/?pdb=754,Articles and Chapters,,,,,,,,,,https://web.archive.org/web/20250112212831/https://na.weshareresearch.com/resources/articles/?listpage=8&instance=1,Listing only,
reference-861,An ounce of analysis is worth a pound of objectives.,Harless,1975,1975,Book,,https://web.archive.org/web/20260101050202/https://na.weshareresearch.com/resources/single-record/?pdb=861,Books,,,,,,,,,,https://web.archive.org/web/20240612225204/https://na.weshareresearch.com/resources/books/?listpage=3&instance=1,Listing only,
reference-826,An Update on Relating Needs Assessment and Needs Analysis,Watkins,1996,1996,Article/Chapter,,https://web.archive.org/web/20260101050202/https://na.weshareresearch.com/resources/single-record/?pdb=826,Articles and Chapters,,,,,,,,,,https://web.archive.org/web/20250112220506/https://na.weshareresearch.com/resources/articles/?listpage=7&instance=1,Listing only,
reference-619,Analyzing communication sequences for team training needs assessment,C.A. Bowers; F. Jentsch; E. Salas; C.C. Braun,1998,1998,Journal article,,http://web.archive.org/web/20221007000943/https://na.weshareresearch.com/resources/single-record/?pdb=619,Articles and Chapters,fr,Human Factors,,,672–9,40,4,,,http://web.archive.org/web/20221007000943/https://na.weshareresearch.com/resources/single-record/?pdb=619; https://web.archive.org/web/20241120084513/https://na.weshareresearch.com/resources/articles/?listpage=6&instance=1,Reference details recovered,"{""author_0_family"": ""Bowers"", ""author_0_given"": ""C.A."", ""issued_date_parts_0_0"": ""1998"", ""title"": ""Analyzing communication sequences for team training needs assessment"", ""type"": ""article-journal"", ""journal"": ""Human Factors"", ""volume"": ""40"", ""issue"": ""4"", ""page"": ""672–9"", ""edition"": """", ""in_book"": """", ""publisher"": """", ""publisher_place"": """", ""doi"": """", ""url"": """", ""language"": ""fr"", ""author_1_family"": ""Jentsch"", ""author_1_given"": ""F."", ""author_2_family"": ""Salas"", ""author_2_given"": ""E."", ""author_3_family"": ""Braun"", ""author_3_given"": ""C.C."", ""author_4_family"": """", ""author_4_given"": """", ""editor_0_given"": """", ""editor_0_family"": """", ""issued_date_parts_0_1"": """", ""editor_1_family"": """", ""editor_1_given"": """", ""photo"": """"}"
